楼盘名称,房价(元/平方米),楼盘位置,建成年份,附近地铁站
双龙小区,19341,硚口/汉正街,2004年建成,近地铁6号线六渡桥站
建荣嘉园,暂无,硚口/古田,未知年建成,无地铁
发展社区,15673,硚口/宗关,未知年建成,无地铁
金地悦江时代,暂无,硚口/古田,2019年建成,无地铁
雅端巷25号,暂无,硚口/汉正街,未知年建成,近地铁6号线汉正街站
武胜西街4号,暂无,硚口/集贤,未知年建成,近地铁1号线崇仁路站
幸乐一村19号,暂无,硚口/集贤,未知年建成,无地铁
永利新城西苑,暂无,硚口/古田,未知年建成,无地铁
宝丰二村19到22号,暂无,硚口/集贤,未知年建成,无地铁
丰竹园,17528,硚口/长丰常码头,2000年建成,无地铁
解放大道357号,暂无,硚口/宗关,未知年建成,近地铁3号线宗关站
宝丰二村2号,暂无,硚口/集贤,未知年建成,无地铁
汉西一路28号,暂无,硚口/宗关,未知年建成,无地铁
宝丰二路12号,18237,硚口/宝丰崇仁,未知年建成,无地铁
利济路6号,14633,硚口/汉正街,未知年建成,无地铁
石码右三巷,暂无,硚口/汉正街,未知年建成,无地铁
玉带路,暂无,硚口/宝丰崇仁,未知年建成,无地铁
利济大厦,暂无,硚口/集贤,未知年建成,无地铁
鄂教小区,暂无,硚口/宝丰崇仁,未知年建成,无地铁
结合病防治宿舍,暂无,硚口/宝丰崇仁,未知年建成,近地铁2号线青年路站
复兴村电信小区,暂无,硚口/长丰常码头,未知年建成,无地铁
华润翡翠城二期,暂无,硚口/长丰常码头,未知年建成,无地铁
新华尚水湾,暂无,硚口/古田,2020年建成,无地铁
汉水新村,暂无,硚口/宝丰崇仁,未知年建成,近地铁1号线太平洋站
曾家社区,暂无,硚口/古田,2001年建成,近地铁1号线古田四路站
长堤街49号,暂无,硚口/宝丰崇仁,未知年建成,无地铁
简易宿舍,暂无,硚口/宗关,未知年建成,近地铁3号线宗关站
中山大道43附1号,暂无,硚口/宝丰崇仁,未知年建成,近地铁6号线武胜路站
营房后街25到29号,暂无,硚口/宝丰崇仁,未知年建成,无地铁
中山大道55号,暂无,硚口/宝丰崇仁,未知年建成,无地铁
武北新村,暂无,硚口/集贤,未知年建成,无地铁
金山公馆,暂无,硚口/CBD西北湖,未知年建成,无地铁
龙湖春江郦城,暂无,硚口/长丰常码头,未知年建成,无地铁
韵竹苑,暂无,硚口/长丰常码头,2000年建成,无地铁
古南社区,14735,硚口/古田,1993年建成,无地铁
轻机小区,暂无,硚口/古田,1996年建成,近地铁1号线古田四路站
天勤花园,15190,硚口/古田,2001年建成,近地铁1号线古田一路站
营房社区,16050,硚口/宝丰崇仁,2000年建成,近地铁1号线硚口路站
古画社区内燃小区,暂无,硚口/古田,未知年建成,无地铁
